FID,HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER_,SORT,dis_m3_pyr,dis_m3_pmn,dis_m3_pmx,run_mm_syr,inu_pc_smn,inu_pc_umn,inu_pc_smx,inu_pc_umx,inu_pc_slt,inu_pc_ult,lka_pc_sse,lka_pc_use,lkv_mc_usu,rev_mc_usu,dor_pc_pva,ria_ha_ssu,ria_ha_usu,riv_tc_ssu,riv_tc_usu,gwt_cm_sav,ele_mt_sav,ele_mt_uav,ele_mt_smn,ele_mt_smx,slp_dg_sav,slp_dg_uav,sgr_dk_sav,clz_cl_smj,cls_cl_smj,tmp_dc_syr,tmp_dc_uyr,tmp_dc_smn,tmp_dc_smx,tmp_dc_s01,tmp_dc_s02,tmp_dc_s03,tmp_dc_s04,tmp_dc_s05,tmp_dc_s06,tmp_dc_s07,tmp_dc_s08,tmp_dc_s09,tmp_dc_s10,tmp_dc_s11,tmp_dc_s12,pre_mm_syr,pre_mm_uyr,pre_mm_s01,pre_mm_s02,pre_mm_s03,pre_mm_s04,pre_mm_s05,pre_mm_s06,pre_mm_s07,pre_mm_s08,pre_mm_s09,pre_mm_s10,pre_mm_s11,pre_mm_s12,pet_mm_syr,pet_mm_uyr,pet_mm_s01,pet_mm_s02,pet_mm_s03,pet_mm_s04,pet_mm_s05,pet_mm_s06,pet_mm_s07,pet_mm_s08,pet_mm_s09,pet_mm_s10,pet_mm_s11,pet_mm_s12,aet_mm_syr,aet_mm_uyr,aet_mm_s01,aet_mm_s02,aet_mm_s03,aet_mm_s04,aet_mm_s05,aet_mm_s06,aet_mm_s07,aet_mm_s08,aet_mm_s09,aet_mm_s10,aet_mm_s11,aet_mm_s12,ari_ix_sav,ari_ix_uav,cmi_ix_syr,cmi_ix_uyr,cmi_ix_s01,cmi_ix_s02,cmi_ix_s03,cmi_ix_s04,cmi_ix_s05,cmi_ix_s06,cmi_ix_s07,cmi_ix_s08,cmi_ix_s09,cmi_ix_s10,cmi_ix_s11,cmi_ix_s12,snw_pc_syr,snw_pc_uyr,snw_pc_smx,snw_pc_s01,snw_pc_s02,snw_pc_s03,snw_pc_s04,snw_pc_s05,snw_pc_s06,snw_pc_s07,snw_pc_s08,snw_pc_s09,snw_pc_s10,snw_pc_s11,snw_pc_s12,glc_cl_smj,glc_pc_s01,glc_pc_s02,glc_pc_s03,glc_pc_s04,glc_pc_s05,glc_pc_s06,glc_pc_s07,glc_pc_s08,glc_pc_s09,glc_pc_s10,glc_pc_s11,glc_pc_s12,glc_pc_s13,glc_pc_s14,glc_pc_s15,glc_pc_s16,glc_pc_s17,glc_pc_s18,glc_pc_s19,glc_pc_s20,glc_pc_s21,glc_pc_s22,glc_pc_u01,glc_pc_u02,glc_pc_u03,glc_pc_u04,glc_pc_u05,glc_pc_u06,glc_pc_u07,glc_pc_u08,glc_pc_u09,glc_pc_u10,glc_pc_u11,glc_pc_u12,glc_pc_u13,glc_pc_u14,glc_pc_u15,glc_pc_u16,glc_pc_u17,glc_pc_u18,glc_pc_u19,glc_pc_u20,glc_pc_u21,glc_pc_u22,pnv_cl_smj,pnv_pc_s01,pnv_pc_s02,pnv_pc_s03,pnv_pc_s04,pnv_pc_s05,pnv_pc_s06,pnv_pc_s07,pnv_pc_s08,pnv_pc_s09,pnv_pc_s10,pnv_pc_s11,pnv_pc_s12,pnv_pc_s13,pnv_pc_s14,pnv_pc_s15,pnv_pc_u01,pnv_pc_u02,pnv_pc_u03,pnv_pc_u04,pnv_pc_u05,pnv_pc_u06,pnv_pc_u07,pnv_pc_u08,pnv_pc_u09,pnv_pc_u10,pnv_pc_u11,pnv_pc_u12,pnv_pc_u13,pnv_pc_u14,pnv_pc_u15,wet_cl_smj,wet_pc_sg1,wet_pc_ug1,wet_pc_sg2,wet_pc_ug2,wet_pc_s01,wet_pc_s02,wet_pc_s03,wet_pc_s04,wet_pc_s05,wet_pc_s06,wet_pc_s07,wet_pc_s08,wet_pc_s09,wet_pc_u01,wet_pc_u02,wet_pc_u03,wet_pc_u04,wet_pc_u05,wet_pc_u06,wet_pc_u07,wet_pc_u08,wet_pc_u09,for_pc_sse,for_pc_use,crp_pc_sse,crp_pc_use,pst_pc_sse,pst_pc_use,ire_pc_sse,ire_pc_use,gla_pc_sse,gla_pc_use,prm_pc_sse,prm_pc_use,pac_pc_sse,pac_pc_use,tbi_cl_smj,tec_cl_smj,fmh_cl_smj,fec_cl_smj,cly_pc_sav,cly_pc_uav,slt_pc_sav,slt_pc_uav,snd_pc_sav,snd_pc_uav,soc_th_sav,soc_th_uav,swc_pc_syr,swc_pc_uyr,swc_pc_s01,swc_pc_s02,swc_pc_s03,swc_pc_s04,swc_pc_s05,swc_pc_s06,swc_pc_s07,swc_pc_s08,swc_pc_s09,swc_pc_s10,swc_pc_s11,swc_pc_s12,lit_cl_smj,kar_pc_sse,kar_pc_use,ero_kh_sav,ero_kh_uav,pop_ct_ssu,pop_ct_usu,ppd_pk_sav,ppd_pk_uav,urb_pc_sse,urb_pc_use,nli_ix_sav,nli_ix_uav,rdd_mk_sav,rdd_mk_uav,hft_ix_s93,hft_ix_u93,hft_ix_s09,hft_ix_u09,gad_id_smj,gdp_ud_sav,gdp_ud_ssu,gdp_ud_usu,hdi_ix_sav
0,7060046750,0,7060046750,7060046750,0,0,194.1,194.1,741001,0,1,0,14453,1.386,0.892,2.208,759,0,8,11,70,33,97,0,0,0,0,0,23.889,4.665,64.719,7.711,14,10,4,0,26,5,5,7,14,93,196,197,104,276,104,121,154,196,236,266,276,274,255,203,153,118,1609,1593,134,137,143,116,122,140,173,176,154,85,98,132,1319,1305,55,64,97,123,151,158,163,153,127,103,69,54,1194,1183,55,64,97,118,134,131,136,134,116,92,62,54,122,122,18,18,59,53,32,-5,-19,-12,6,13,17,-18,30,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,84,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,11,35,24,35,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,2,1,2,2,0,0,0,0,0,0,27,47,8,399,7,149,18,18,34,32,48,50,42,86,92,92,100,100,100,97,89,83,83,87,91,90,90,96,1,0,0,926,445,50.728,19.522,276.222,292.714,29,25,4032,3854,4365,18797,252,311,264,313,240,40758,2243396352,856359616,793
1,7060046780,0,7060046780,7060046780,0,0,1558.4,1558.8,741002,0,0,1,14454,32.351,19.211,51.79,685,0,0,2,2,5,5,2,2,6,0,0,305.768,305.768,1425.525,1425.525,31,36,36,-1,109,8,8,17,14,93,194,194,100,275,100,118,153,195,234,264,275,272,251,199,150,115,1629,1629,137,145,154,121,127,133,172,168,148,81,104,140,1382,1382,56,66,102,130,160,169,173,161,132,106,70,55,1207,1207,56,66,102,125,140,135,137,132,112,88,60,54,118,118,15,15,59,54,34,-7,-21,-21,-1,4,10,-24,32,60,1,1,3,1,1,0,0,0,0,0,0,0,0,0,3,4,0,0,0,93,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,93,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,11,38,38,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,2,2,2,2,0,0,0,0,0,0,2,2,8,399,7,149,19,19,34,33,47,47,30,30,89,89,100,100,100,96,88,81,79,81,85,84,85,94,1,0,0,610,611,120.409,120.409,79.309,79.4,7,7,2069,2100,1025,1026,118,119,137,137,240,40758,4203597568,4203597312,793
2,7060046790,0,7060046790,7060046790,0,0,2263.9,2263.9,741003,0,1,0,14455,3.516,2.261,5.602,641,4,11,8,58,16,97,2,0,0,0,0,403.117,7.059,2032.843,8.316,41,40,3,-2,126,9,4,17,14,93,192,198,99,272,99,117,152,194,232,262,272,271,250,198,150,114,1593,1576,141,143,151,123,126,125,162,155,138,77,110,142,1395,1315,56,67,104,131,161,171,175,163,133,107,71,56,1188,1174,56,67,104,125,141,134,134,126,106,84,58,53,114,120,12,17,60,53,31,-6,-22,-27,-7,-5,3,-29,35,60,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,85,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,2,0,0,0,52,0,0,0,0,0,0,0,0,8,9,8,5,0,0,0,0,0,19,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,11,35,14,35,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,52,7,3,5,2,0,0,0,0,0,0,6,24,8,399,7,149,17,16,33,31,49,53,42,57,87,91,100,100,100,96,89,80,76,77,80,78,81,93,1,0,0,808,1139,123.583,57.67,57.911,253.802,4,23,1642,3674,2287,26120,114,255,120,253,240,40758,5486631936,2771161088,793
3,7060046850,0,7060046850,7060046850,0,0,1370.5,1370.5,741004,0,0,1,14456,26.626,14.534,44.499,625,3,3,8,8,19,19,10,10,24,0,0,330.654,330.654,2189.084,2189.084,45,44,44,0,124,8,8,18,14,90,191,191,96,273,96,115,152,193,230,262,273,270,249,196,149,112,1574,1574,138,146,153,124,126,121,158,147,127,76,112,146,1427,1427,57,68,106,134,165,175,179,166,136,110,73,57,1184,1184,57,68,106,128,143,134,132,123,102,80,56,53,110,110,9,9,58,53,30,-8,-24,-31,-11,-12,-6,-31,35,61,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,93,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,93,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,11,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,8,8,5,5,0,0,0,0,0,0,3,3,8,399,7,149,17,16,33,33,50,50,44,44,86,85,100,100,100,96,88,78,74,74,75,73,77,91,1,0,0,645,645,43.733,43.733,32.473,32.48,2,2,1456,1500,402,402,111,111,117,117,240,41691,1852322560,1852323072,794
4,7060046860,0,7060046860,7060046860,0,0,9.2,9.3,741005,0,1,0,14457,0.195,0.116,0.3,640,100,100,100,100,100,100,98,63,0,0,0,0.167,0.167,0.102,0.102,2,0,0,0,1,0,0,-999,14,93,197,197,104,275,104,122,157,198,235,265,275,273,254,203,156,120,1533,1533,138,136,137,116,122,116,157,153,141,74,110,133,1370,1370,57,67,103,129,157,166,170,159,129,106,71,57,1165,1165,57,67,103,123,136,128,128,123,104,83,58,54,112,112,11,11,58,51,25,-9,-22,-30,-8,-4,9,-30,35,57,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,3,3,1,1,0,0,0,0,0,0,0,0,4,337,7,149,17,16,29,28,55,56,279,270,87,87,100,100,100,96,88,79,75,77,80,79,81,93,1,0,0,328,284,0,0,0,0,0,0,476,472,29,25,134,135,140,141,240,46081,0,0,795
5,7060046870,0,7060046870,7060046870,0,0,20909.6,20909.6,741006,0,0,1,14458,372.242,128.008,690.65,609,2,2,5,5,15,16,6,6,4365,4245,362,7449.419,7449.421,117605.602,117605.617,66,115,115,0,215,13,13,22,14,85,178,178,75,269,75,96,137,180,219,255,269,266,239,180,131,91,1491,1492,142,137,156,141,128,102,132,106,94,83,117,152,1437,1437,52,65,105,137,169,182,186,174,139,108,69,52,1116,1116,52,65,105,133,149,136,126,109,83,65,48,46,104,104,3,3,63,53,33,3,-24,-44,-29,-39,-32,-23,41,66,0,0,3,1,1,0,0,0,0,0,0,0,0,0,3,4,0,6,0,82,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,1,0,6,0,82,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,1,4,0,0,0,94,6,0,0,0,0,0,0,0,0,0,0,0,0,0,94,6,0,0,0,0,0,0,0,0,0,0,11,25,25,24,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,88,88,11,11,7,7,0,0,0,0,0,0,1,1,8,399,7,149,19,19,36,36,45,45,30,30,81,81,99,100,100,98,90,77,68,63,60,60,68,87,1,7,7,615,615,713.126,713.127,34.711,34.68,2,2,1111,1100,420,419,98,98,96,96,240,41523,30981715968,30981666816,794
6,7060046880,0,7060046880,7060046880,0,0,18.2,18.2,741007,0,1,0,14459,0.133,0.08,0.209,638,92,100,94,100,96,100,27,0,0,0,0,0.863,0.261,0.781,0.226,4,1,0,-1,16,2,0,-999,14,93,197,197,104,275,104,121,157,198,235,265,275,273,254,203,157,120,1524,1527,135,138,137,115,122,116,156,151,137,74,108,135,1387,1382,58,68,104,131,160,168,172,160,130,107,72,58,1165,1166,58,68,104,124,137,128,128,122,103,82,57,54,110,111,9,10,57,51,24,-12,-24,-31,-9,-6,5,-30,34,57,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,97,1,2,1,1,0,0,0,0,0,0,17,3,4,337,7,149,19,19,36,33,44,48,76,68,86,87,100,100,100,96,87,78,74,75,78,77,79,92,1,0,0,627,301,0.081,0.006,6.209,1.004,0,0,841,585,563,361,178,145,140,106,240,48587,3669526,6778,795
7,7060046900,0,7060046900,7060046900,0,0,13745.6,13745.8,741008,0,0,1,14460,289.17,145.174,493.725,680,17,17,28,28,38,38,140,141,6796,0,0,3993.44,3993.447,40581.516,40581.473,23,43,43,-4,162,7,7,13,14,93,191,191,97,272,97,115,152,193,230,261,272,270,249,195,147,111,1592,1592,140,146,145,135,131,124,158,143,124,84,115,150,1449,1449,58,70,108,137,168,178,181,169,137,111,73,58,1205,1205,58,70,108,133,147,138,134,124,101,80,57,54,110,110,9,9,58,52,25,-2,-22,-31,-13,-16,-9,-24,36,61,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,4,0,1,0,75,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,15,0,2,0,1,0,75,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,15,0,2,4,0,0,0,89,1,0,0,10,0,0,0,0,0,0,0,0,0,0,89,1,0,0,10,0,0,0,0,0,0,0,11,36,36,34,34,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,76,76,8,8,5,5,0,0,0,0,0,0,2,2,8,399,7,149,20,19,37,36,43,42,33,33,86,86,100,100,100,97,89,79,74,73,74,73,77,91,1,0,0,661,660,1081.448,1081.448,80.776,80.943,7,7,1834,1800,1074,1077,122,122,123,123,240,47257,52541792256,52541775872,795
8,7060046910,0,7060046910,7060046910,0,0,2892.5,2892.5,741009,0,1,0,14461,2.26,1.38,3.553,686,48,96,56,99,64,99,119,45,31,0,0,265.13,9.677,715.855,17.663,3,1,1,-4,17,1,1,2,14,93,203,198,113,277,113,127,162,203,239,268,277,276,259,212,166,130,1523,1526,131,125,126,106,121,109,164,165,152,81,111,131,1295,1378,56,65,97,122,147,156,160,149,120,99,68,56,1144,1165,56,65,97,116,128,123,126,123,106,86,61,56,118,111,15,10,57,47,23,-13,-17,-30,2,10,21,-17,39,57,1,0,3,3,1,1,0,0,0,0,0,0,0,0,1,20,0,0,0,23,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,71,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,4,0,0,0,86,0,0,0,2,0,12,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,10,15,0,8,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,65,1,2,5,1,0,0,0,0,0,0,17,0,4,337,7,149,24,18,29,34,47,48,414,177,91,87,100,100,100,96,88,80,78,82,88,88,90,97,1,0,0,410,1200,8.172,0.093,3.164,1.374,0,0,553,602,370,62,60,106,53,108,240,48462,747368256,4822217,795
9,7060047060,0,7060047060,7060047060,0,0,5478.6,3179500.3,742100,0,0,1,14462,21894.457,11662.151,37480.75,700,22,2,42,7,47,12,30,9,401069,328417,476,49870.523,977817.875,6259730,37744956,34,25,663,-4,133,6,26,11,14,93,195,101,101,275,101,118,156,197,234,264,275,273,252,201,154,117,1551,781,135,136,132,124,130,124,156,143,129,87,113,144,1395,1121,57,68,105,133,161,170,173,162,132,107,72,57,1180,635,57,68,105,127,141,134,131,122,101,82,58,54,111,69,10,-31,57,50,20,-7,-19,-27,-9,-11,-3,-19,36,60,0,10,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,5,0,48,0,0,0,0,0,0,0,0,2,2,2,24,0,0,0,11,0,6,0,14,0,10,0,4,0,0,0,0,0,12,23,1,0,33,0,0,0,1,0,1,4,0,0,0,63,7,0,0,20,0,10,0,0,0,0,0,0,0,0,6,22,2,0,7,16,41,0,6,0,0,0,11,40,9,32,7,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54,27,13,38,5,27,0,4,0,0,0,0,1,3,4,337,7,149,22,20,37,41,42,39,82,25,87,59,100,100,100,96,89,80,76,76,77,77,81,93,1,0,25,2333,3118,915.017,78578.055,174.948,25.218,11,2,2874,800,1632,321,220,87,199,83,240,48002,42368901120,3.95333E+12,795
