FID,HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER_,SORT,dis_m3_pyr,dis_m3_pmn,dis_m3_pmx,run_mm_syr,inu_pc_smn,inu_pc_umn,inu_pc_smx,inu_pc_umx,inu_pc_slt,inu_pc_ult,lka_pc_sse,lka_pc_use,lkv_mc_usu,rev_mc_usu,dor_pc_pva,ria_ha_ssu,ria_ha_usu,riv_tc_ssu,riv_tc_usu,gwt_cm_sav,ele_mt_sav,ele_mt_uav,ele_mt_smn,ele_mt_smx,slp_dg_sav,slp_dg_uav,sgr_dk_sav,clz_cl_smj,cls_cl_smj,tmp_dc_syr,tmp_dc_uyr,tmp_dc_smn,tmp_dc_smx,tmp_dc_s01,tmp_dc_s02,tmp_dc_s03,tmp_dc_s04,tmp_dc_s05,tmp_dc_s06,tmp_dc_s07,tmp_dc_s08,tmp_dc_s09,tmp_dc_s10,tmp_dc_s11,tmp_dc_s12,pre_mm_syr,pre_mm_uyr,pre_mm_s01,pre_mm_s02,pre_mm_s03,pre_mm_s04,pre_mm_s05,pre_mm_s06,pre_mm_s07,pre_mm_s08,pre_mm_s09,pre_mm_s10,pre_mm_s11,pre_mm_s12,pet_mm_syr,pet_mm_uyr,pet_mm_s01,pet_mm_s02,pet_mm_s03,pet_mm_s04,pet_mm_s05,pet_mm_s06,pet_mm_s07,pet_mm_s08,pet_mm_s09,pet_mm_s10,pet_mm_s11,pet_mm_s12,aet_mm_syr,aet_mm_uyr,aet_mm_s01,aet_mm_s02,aet_mm_s03,aet_mm_s04,aet_mm_s05,aet_mm_s06,aet_mm_s07,aet_mm_s08,aet_mm_s09,aet_mm_s10,aet_mm_s11,aet_mm_s12,ari_ix_sav,ari_ix_uav,cmi_ix_syr,cmi_ix_uyr,cmi_ix_s01,cmi_ix_s02,cmi_ix_s03,cmi_ix_s04,cmi_ix_s05,cmi_ix_s06,cmi_ix_s07,cmi_ix_s08,cmi_ix_s09,cmi_ix_s10,cmi_ix_s11,cmi_ix_s12,snw_pc_syr,snw_pc_uyr,snw_pc_smx,snw_pc_s01,snw_pc_s02,snw_pc_s03,snw_pc_s04,snw_pc_s05,snw_pc_s06,snw_pc_s07,snw_pc_s08,snw_pc_s09,snw_pc_s10,snw_pc_s11,snw_pc_s12,glc_cl_smj,glc_pc_s01,glc_pc_s02,glc_pc_s03,glc_pc_s04,glc_pc_s05,glc_pc_s06,glc_pc_s07,glc_pc_s08,glc_pc_s09,glc_pc_s10,glc_pc_s11,glc_pc_s12,glc_pc_s13,glc_pc_s14,glc_pc_s15,glc_pc_s16,glc_pc_s17,glc_pc_s18,glc_pc_s19,glc_pc_s20,glc_pc_s21,glc_pc_s22,glc_pc_u01,glc_pc_u02,glc_pc_u03,glc_pc_u04,glc_pc_u05,glc_pc_u06,glc_pc_u07,glc_pc_u08,glc_pc_u09,glc_pc_u10,glc_pc_u11,glc_pc_u12,glc_pc_u13,glc_pc_u14,glc_pc_u15,glc_pc_u16,glc_pc_u17,glc_pc_u18,glc_pc_u19,glc_pc_u20,glc_pc_u21,glc_pc_u22,pnv_cl_smj,pnv_pc_s01,pnv_pc_s02,pnv_pc_s03,pnv_pc_s04,pnv_pc_s05,pnv_pc_s06,pnv_pc_s07,pnv_pc_s08,pnv_pc_s09,pnv_pc_s10,pnv_pc_s11,pnv_pc_s12,pnv_pc_s13,pnv_pc_s14,pnv_pc_s15,pnv_pc_u01,pnv_pc_u02,pnv_pc_u03,pnv_pc_u04,pnv_pc_u05,pnv_pc_u06,pnv_pc_u07,pnv_pc_u08,pnv_pc_u09,pnv_pc_u10,pnv_pc_u11,pnv_pc_u12,pnv_pc_u13,pnv_pc_u14,pnv_pc_u15,wet_cl_smj,wet_pc_sg1,wet_pc_ug1,wet_pc_sg2,wet_pc_ug2,wet_pc_s01,wet_pc_s02,wet_pc_s03,wet_pc_s04,wet_pc_s05,wet_pc_s06,wet_pc_s07,wet_pc_s08,wet_pc_s09,wet_pc_u01,wet_pc_u02,wet_pc_u03,wet_pc_u04,wet_pc_u05,wet_pc_u06,wet_pc_u07,wet_pc_u08,wet_pc_u09,for_pc_sse,for_pc_use,crp_pc_sse,crp_pc_use,pst_pc_sse,pst_pc_use,ire_pc_sse,ire_pc_use,gla_pc_sse,gla_pc_use,prm_pc_sse,prm_pc_use,pac_pc_sse,pac_pc_use,tbi_cl_smj,tec_cl_smj,fmh_cl_smj,fec_cl_smj,cly_pc_sav,cly_pc_uav,slt_pc_sav,slt_pc_uav,snd_pc_sav,snd_pc_uav,soc_th_sav,soc_th_uav,swc_pc_syr,swc_pc_uyr,swc_pc_s01,swc_pc_s02,swc_pc_s03,swc_pc_s04,swc_pc_s05,swc_pc_s06,swc_pc_s07,swc_pc_s08,swc_pc_s09,swc_pc_s10,swc_pc_s11,swc_pc_s12,lit_cl_smj,kar_pc_sse,kar_pc_use,ero_kh_sav,ero_kh_uav,pop_ct_ssu,pop_ct_usu,ppd_pk_sav,ppd_pk_uav,urb_pc_sse,urb_pc_use,nli_ix_sav,nli_ix_uav,rdd_mk_sav,rdd_mk_uav,hft_ix_s93,hft_ix_u93,hft_ix_s09,hft_ix_u09,gad_id_smj,gdp_ud_sav,gdp_ud_ssu,gdp_ud_usu,hdi_ix_sav
0,7050046750,0,7050046750,7050046750,0,0,42962.1,42962.1,74100,0,1,0,4192,1.386,0.892,2.208,642,10,8,16,70,26,97,56,0,0,0,0,12772.446,4.665,164616.031,7.711,45,75,4,-4,215,10,5,18,14,85,186,197,88,271,88,107,145,187,226,259,271,269,245,189,141,103,1539,1593,140,140,150,135,128,112,147,128,113,83,115,149,1426,1305,55,67,105,135,166,178,181,169,136,108,71,55,1156,1183,55,67,105,131,146,136,129,117,94,74,53,50,108,122,7,18,61,52,29,-1,-23,-37,-19,-24,-17,-24,39,63,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,4,0,3,0,77,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,10,0,1,0,0,0,84,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,4,0,0,0,93,3,0,0,3,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,11,29,24,28,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,84,8,1,6,2,0,0,0,0,0,0,3,47,8,399,7,149,19,18,36,32,45,50,53,86,84,92,100,100,100,97,89,78,72,70,69,68,74,90,1,3,0,628,445,2141.281,19.522,51.077,292.714,4,25,1390,3854,761,18797,106,311,106,313,240,43744,98060492800,856359616,794
1,7050047060,0,7050047060,7050047060,0,0,5478.6,3179500.3,74210,0,0,1,4193,21894.457,11662.151,37480.75,700,22,2,42,7,47,12,30,9,401069,328417,476,49870.523,977817.875,6259730,37744956,34,25,663,-4,133,6,26,11,14,93,195,101,101,275,101,118,156,197,234,264,275,273,252,201,154,117,1551,781,135,136,132,124,130,124,156,143,129,87,113,144,1395,1121,57,68,105,133,161,170,173,162,132,107,72,57,1180,635,57,68,105,127,141,134,131,122,101,82,58,54,111,69,10,-31,57,50,20,-7,-19,-27,-9,-11,-3,-19,36,60,0,10,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,5,0,48,0,0,0,0,0,0,0,0,2,2,2,24,0,0,0,11,0,6,0,14,0,10,0,4,0,0,0,0,0,12,23,1,0,33,0,0,0,1,0,1,4,0,0,0,63,7,0,0,20,0,10,0,0,0,0,0,0,0,0,6,22,2,0,7,16,41,0,6,0,0,0,11,40,9,32,7,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54,27,13,38,5,27,0,4,0,0,0,0,1,3,4,337,7,149,22,20,37,41,42,39,82,25,87,59,100,100,100,96,89,80,76,76,77,77,81,93,1,0,25,2333,3118,915.017,78578.055,174.948,25.218,11,2,2874,800,1632,321,220,87,199,83,240,48002,42368901120,3.95333E+12,795
2,7050741770,7050047060,7050047060,7050047060,510,510,56570.3,2934853,74230,0,0,1,4194,19407.025,10186.18,35220,757,5,2,32,7,38,12,20,9,354229,284675,465,62087.391,870878.625,5383016.5,30442904,54,77,692,10,219,10,28,17,14,85,171,96,59,270,59,81,125,174,216,254,270,265,235,175,121,76,1413,760,130,125,151,137,133,100,111,81,86,84,126,149,1369,1098,45,57,96,130,163,178,184,172,135,102,62,45,1044,619,45,57,96,127,147,136,122,100,74,58,42,40,103,69,3,-31,66,55,36,5,-19,-43,-40,-53,-36,-18,50,70,0,11,2,1,0,0,0,0,0,0,0,0,0,0,1,16,0,27,0,25,0,0,0,0,0,0,1,0,1,0,0,44,0,0,0,1,0,0,0,14,0,8,0,4,0,0,0,0,0,13,22,1,0,35,0,0,0,1,0,1,5,0,0,0,22,60,0,0,17,0,0,0,0,0,0,0,0,0,0,4,23,2,0,7,16,42,1,6,0,0,0,11,22,8,20,7,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,26,33,39,6,27,12,4,0,0,0,0,2,3,8,399,7,149,21,20,40,41,39,39,27,25,80,59,99,100,100,98,91,79,68,59,55,56,67,88,1,5,25,3761,3234,924.48,74444.531,16.585,25.87,1,2,766,800,248,324,85,88,77,83,240,41106,37633503232,3.75794E+12,793
3,7050741760,7050047060,7050047060,7050047060,510,510,430.6,239195.1,74221,0,0,2,4195,2186.597,663.879,3665.315,672,21,2,58,8,68,13,13,10,46517,43742,634,1481.152,57085.98,82244.031,1042444.25,19,18,319,6,34,5,13,7,14,90,189,166,89,276,89,110,148,192,230,263,276,273,248,192,142,103,1517,1022,140,131,145,134,141,110,123,107,104,94,124,165,1432,1398,54,66,105,135,166,177,182,171,139,110,71,54,1136,826,54,66,105,131,148,138,126,109,86,70,52,50,106,73,6,-27,61,49,27,-1,-16,-38,-32,-37,-25,-15,43,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,67,0,8,0,1,0,0,0,0,0,0,1,0,0,22,0,0,0,1,0,0,0,8,0,32,0,0,0,0,0,0,1,7,37,1,0,13,0,0,0,1,0,0,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16,0,0,6,12,35,0,0,0,0,0,10,69,12,59,11,2,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,76,40,18,27,1,27,3,5,0,0,0,0,0,3,4,337,7,149,21,22,40,37,38,41,37,18,82,62,100,100,100,97,90,80,70,64,62,63,72,90,1,0,18,2825,1721,0.15,3218.986,0.376,13.768,0,1,137,600,100,259,44,77,38,78,240,48456,6192099,1.53019E+11,795
4,7050736840,7050741760,7050047060,7050047060,564.7999878,564.7999878,40794.7,175914.2,74223,0,0,2,4196,1100.036,357.884,1710.281,440,3,2,5,3,13,8,16,10,37046,35230,1016,16269.876,33009.523,381429.219,589311.875,59,91,404,10,229,10,13,17,14,85,177,164,65,277,65,88,133,180,219,258,277,275,241,183,127,81,1253,896,96,102,115,111,131,106,93,73,96,97,114,119,1410,1402,48,61,101,133,164,178,190,179,138,105,65,48,1020,745,46,60,99,123,138,131,118,94,71,59,43,40,89,64,-11,-36,47,39,12,-16,-20,-40,-51,-59,-31,-7,43,58,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,4,0,9,0,57,0,0,0,0,0,0,0,0,11,0,0,21,0,0,0,2,0,1,0,6,0,22,0,0,0,0,0,0,1,9,49,1,0,9,0,0,0,1,0,0,4,0,0,0,62,30,0,0,2,3,4,0,0,0,0,0,0,0,0,18,14,0,0,4,17,47,0,0,0,0,0,11,19,10,17,9,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65,28,19,30,14,36,1,4,0,0,0,0,3,2,5,363,6,145,23,22,36,37,40,40,19,14,76,56,94,98,98,93,85,75,64,54,51,55,66,82,1,3,21,1459,1506,1000.494,2282.367,25.233,13.235,1,1,960,600,397,240,104,74,92,78,240,48145,48803446784,1.10732E+11,841
5,7050736850,7050741760,7050047060,7050047060,564.7999878,564.7999878,62850.8,62850.8,74222,0,0,3,4197,1077.728,299.153,2001.309,551,3,3,21,21,26,27,12,12,9453,8512,250,22595.285,22595.301,370890.188,370889.313,63,84,83,8,766,13,13,19,14,85,171,171,57,272,57,81,126,175,215,254,272,267,235,175,120,74,1373,1373,112,116,138,123,138,103,106,82,95,98,125,136,1389,1389,45,58,98,132,164,179,189,176,136,103,62,46,1050,1050,45,58,98,126,145,136,123,99,74,60,44,41,99,99,-1,-1,59,49,29,-7,-16,-42,-44,-53,-30,-5,50,66,1,1,3,2,2,0,0,0,0,0,0,0,0,1,2,4,0,12,0,61,0,0,0,0,0,0,1,0,2,0,0,22,0,0,0,1,0,1,0,12,0,61,0,0,0,0,0,0,1,0,2,0,0,22,0,0,0,1,0,1,4,0,0,0,65,23,0,0,11,0,0,0,0,0,0,0,0,0,0,65,23,0,0,11,0,0,0,0,0,0,0,11,17,17,15,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73,73,18,18,3,3,8,8,0,0,0,0,7,7,5,363,6,145,21,21,36,36,43,43,29,29,80,80,99,100,100,96,89,78,66,58,54,58,70,88,1,8,9,2304,2314,936.472,936.473,15.366,15.35,1,1,597,600,311,311,84,84,78,78,240,45267,42280570880,42280632320,796
6,7050686540,7050741770,7050047060,7050047060,967.4000244,967.4000244,298.1,2469256,74251,0,0,1,4198,16784.418,8924.77,30892.314,719,7,2,22,7,27,12,23,9,304584,239120,452,2848.024,750532.563,333456.75,24057974,36,46,676,32,59,6,29,9,11,77,168,89,46,275,46,71,121,172,216,258,275,267,233,172,117,67,1319,758,117,122,140,130,125,92,101,70,83,81,123,135,1314,1060,39,51,89,124,158,174,181,168,132,98,58,41,980,616,39,51,89,121,142,132,117,93,69,54,38,35,100,71,0,-30,66,58,36,5,-21,-47,-44,-58,-37,-18,53,70,0,12,1,0,0,0,0,0,0,0,0,0,0,1,1,16,0,21,0,24,0,0,0,0,0,0,2,0,3,0,0,43,0,0,0,7,0,1,0,16,0,7,0,4,0,0,0,0,0,12,19,2,0,37,0,0,0,1,0,1,5,0,0,0,0,62,0,0,15,22,0,0,0,0,0,0,0,0,0,3,24,2,0,8,16,39,0,7,0,0,0,10,59,8,48,7,1,0,10,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,45,27,51,39,3,26,18,4,0,0,0,0,0,3,4,337,7,149,21,20,40,41,40,38,42,26,79,60,99,100,100,98,91,78,66,57,52,54,66,86,1,0,27,4419,3460,2.433,66403.383,8.257,27.453,0,2,598,900,91,338,76,91,73,85,240,40906,84158592,3.36833E+12,794
7,7050686450,7050741770,7050047060,7050047060,967.5999756,967.5999756,35839.5,409027,74241,0,0,2,4199,1316.605,591.809,2159.821,360,3,1,13,3,16,6,16,6,37608,35273,850,16752.473,58261.938,544664.938,1002021.563,216,207,874,34,831,37,20,37,11,77,157,129,33,269,33,59,107,160,202,245,269,262,224,165,103,52,1207,686,69,83,118,115,142,98,90,80,104,97,111,100,1332,1288,39,51,89,127,160,177,193,176,131,95,55,38,977,578,37,49,87,118,140,134,120,94,70,57,39,33,91,54,-9,-46,41,36,23,-9,-11,-45,-53,-54,-21,2,50,60,1,3,4,1,3,0,0,0,0,0,0,0,0,1,3,2,0,40,0,20,0,1,0,0,0,0,0,0,7,0,0,29,0,0,0,1,0,1,0,6,0,12,0,0,0,0,0,0,0,21,40,0,0,19,0,0,0,1,0,1,5,0,0,0,12,63,0,0,13,12,0,0,0,0,0,0,0,0,0,3,11,0,1,1,16,61,1,6,0,0,0,11,9,4,7,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,18,25,35,9,39,9,6,0,0,0,0,13,2,4,341,6,147,21,21,38,38,41,41,25,17,78,47,94,96,97,94,88,78,64,54,53,59,71,86,3,2,19,2523,1798,1113.188,7116.823,31.71,17.607,2,1,895,500,431,251,94,68,93,74,240,43735,50026270720,3.51989E+11,800
8,7050682360,7050686540,7050047060,7050047060,1000.200012,1000.200012,71743.2,71743.2,74252,0,0,2,4200,1027.463,331.22,1994.995,449,4,4,16,17,20,20,10,10,20668,19902,614,26092.676,26092.635,511706,511703.563,174,245,244,38,777,34,34,38,11,72,143,143,13,260,13,38,90,147,191,235,260,250,211,151,89,34,1180,1181,70,79,118,113,127,97,87,87,102,86,112,103,1274,1275,34,45,82,121,157,175,189,171,126,90,50,34,944,944,32,44,82,116,138,132,117,93,69,54,35,29,93,93,-7,-7,50,42,30,-7,-18,-45,-54,-49,-19,-5,55,67,1,1,5,3,3,0,0,0,0,0,0,0,0,0,4,2,0,62,0,1,0,0,0,0,0,0,0,0,1,0,0,34,0,0,0,1,0,0,0,62,0,1,0,0,0,0,0,0,0,0,1,0,0,34,0,0,0,1,0,0,5,0,0,0,0,87,0,0,11,2,0,0,0,0,0,0,0,0,0,0,87,0,0,11,2,0,0,0,0,0,0,11,7,7,5,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,63,63,30,31,11,11,13,13,0,0,0,0,6,6,4,340,6,147,23,23,39,39,38,38,29,29,79,79,97,99,100,96,89,78,64,55,55,60,71,87,6,64,63,3282,3298,1208.651,1208.647,17.251,17.213,1,1,638,600,276,275,79,79,75,75,240,45053,58403508224,58403426304,839
9,7050682120,7050686540,7050047060,7050047060,1000.400024,1000.400024,1275.6,2397213.8,74253,0,0,1,4201,15765.491,8597.329,29328.82,712,6,2,27,7,39,12,14,9,283895,219218,441,10385.601,721592.75,1190342.375,23212812,34,51,689,37,120,6,29,10,11,77,165,87,41,274,41,66,116,170,215,256,274,266,232,171,113,63,1331,745,109,118,140,132,132,98,98,72,85,83,128,137,1307,1054,38,50,87,123,159,176,183,169,130,97,56,39,987,606,38,50,87,121,145,136,120,94,69,54,38,35,102,70,2,-30,65,58,38,7,-17,-44,-46,-57,-35,-14,56,71,0,12,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,20,0,19,0,0,0,0,0,0,1,0,2,2,0,49,0,0,0,6,0,0,0,14,0,7,0,5,0,0,0,0,0,12,20,2,0,38,0,0,0,1,0,1,5,0,0,0,0,57,0,0,33,9,0,0,0,0,0,0,0,0,0,4,22,2,0,8,17,41,0,7,0,0,0,11,53,8,39,7,2,0,12,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,39,26,55,40,1,27,33,4,0,0,0,0,4,3,4,337,7,149,21,20,41,41,38,38,36,26,80,60,100,100,100,98,92,80,67,57,53,55,68,88,1,0,26,5369,3464,6.461,65192.324,5.131,27.762,0,2,441,900,195,340,90,92,71,85,240,42166,242415840,3.30984E+12,796
